"c","x","y","people","typePoint","point","words","frame","name","date","x2","y2","nx","ny"
0.720926,42.5293,197.96,1,"pose_keypoints",3,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-43.9763,-69.367,-1.40135299936181,-2.21332534381535
0.783947,26.9017,268.336,1,"pose_keypoints",4,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-59.6039,-139.743,-1.897338359525,-4.46011657790404
0.760726,117.819,128.55,1,"pose_keypoints",5,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,31.3134,0.0429999999999779,1,0
0.758374,150.051,191.079,1,"pose_keypoints",6,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,63.5454,-62.486,2.0320797691124,-1.99829400288924
0.854421,144.23,175.458,1,"pose_keypoints",7,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,57.7244,-46.865,1.84549951933154,-1.49917787526526
0.498681,86.524,247.827,1,"pose_keypoints",8,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,0.0183999999999997,-119.234,0.00581649211896915,-3.80777079809797
0.519483,65.9799,249.772,1,"pose_keypoints",9,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-20.5257,-121.179,-0.650179593713759,-3.8689839582246
0.505431,65.9817,332.88,1,"pose_keypoints",10,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-20.5239,-204.287,-0.646477495262041,-6.52306046190141
0,NA,NA,1,"pose_keypoints",11,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0.490252,106.118,247.812,1,"pose_keypoints",12,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,19.6124,-119.219,0.631555516005055,-3.80815104355286
