"c","x","y","people","typePoint","point","words","frame","name","date","x2","y2","nx","ny"
0.925504,82.6235,74.8348,1,"pose_keypoints",15,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-0.997599999999991,53.7652,-0.0343805706016891,1.66876585953587
0.926863,97.2504,74.8298,1,"pose_keypoints",16,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",13.6293,53.7702,0.419592009485056,1.66799111503679
0.850762,71.8726,76.7738,1,"pose_keypoints",17,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-11.7485,51.8262,-0.367931363793775,1.60926891362203
0.237914,103.142,78.6852,1,"pose_keypoints",18,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",19.5209,49.9148,0.60269382688818,1.54795707644733
0,NA,NA,1,"pose_keypoints",19,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",20,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",21,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",22,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",23,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",24,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0.888176,90.4808,83.6094,1,"pose_keypoints",0,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",5.8908,45.9006,0.138050876792742,1.3783571574053
0.811225,84.59,129.51,1,"pose_keypoints",1,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",0,0,0,0
0.787515,52.3292,129.532,1,"pose_keypoints",2,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-32.2608,-0.0220000000000198,-0.972308829105566,0.0270959697040305
0.735456,42.4822,197.977,1,"pose_keypoints",3,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-42.1078,-68.467,-1.21019951634094,-2.02733635061461
0.788663,26.8611,269.291,1,"pose_keypoints",4,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-57.7289,-139.781,-1.61965064304316,-4.16327083028354
0.762107,117.796,128.562,1,"pose_keypoints",5,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",33.206,0.947999999999979,1,0
0.756702,150.043,190.161,1,"pose_keypoints",6,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",65.453,-60.651,2.02491514211816,-1.88431667634548
0.838895,144.183,174.494,1,"pose_keypoints",7,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",59.593,-44.984,1.83481627401271,-1.40707720977426
0.501602,86.5188,246.855,1,"pose_keypoints",8,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",1.9288,-117.345,0.15910363192747,-3.53839156306292
0.526778,65.9865,248.797,1,"pose_keypoints",9,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-18.6035,-119.287,-0.45806076548032,-3.5792555078698
0.565002,65.9692,331.901,1,"pose_keypoints",10,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-18.6208,-202.391,-0.387074736812709,-6.08396233058789
0,NA,NA,1,"pose_keypoints",11,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0.500565,106.118,246.833,1,"pose_keypoints",12,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",21.528,-117.323,0.749796842218265,-3.55459276656095
0.5499,106.094,328.948,1,"pose_keypoints",13,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",21.504,-199.438,0.819729943260316,-6.02948575517108
0,NA,NA,1,"pose_keypoints",14,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0.907292,82.6712,74.845,1,"pose_keypoints",15,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-1.9188,54.665,-0.104868772037713,1.6492325361649
0.942312,97.302,74.8347,1,"pose_keypoints",16,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",12.712,54.6753,0.336088893633548,1.63695379536335
0.876275,73.7636,76.7571,1,"pose_keypoints",17,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-10.8264,52.7529,-0.371695034413081,1.5992672075114
0.384783,104.135,77.7348,1,"pose_keypoints",18,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",19.545,51.7752,0.544528224747731,1.54366642302413
0,NA,NA,1,"pose_keypoints",19,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",20,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",21,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",22,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",23,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",24,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0.86048,91.4386,83.626,1,"pose_keypoints",0,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",4.93299999999999,44.967,0.155518859964942,1.43581205395011
0.794288,86.5056,128.593,1,"pose_keypoints",1,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",0,0,0,0
0.768118,53.2994,129.509,1,"pose_keypoints",2,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-33.2062,-0.915999999999997,-1.06040795457169,-0.0277626207948949
0.720925,42.5293,197.96,1,"pose_keypoints",3,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-43.9763,-69.367,-1.401282379097,-2.21328069054525
0.783947,26.9017,268.336,1,"pose_keypoints",4,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-59.6039,-139.743,-1.89719600962575,-4.46005618602823
0.760725,117.819,128.549,1,"pose_keypoints",5,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",31.3134,0.0439999999999827,1,0
0.758375,150.051,191.079,1,"pose_keypoints",6,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",63.5454,-62.486,2.03214367636391,-1.99835898758231
0.854421,144.23,175.458,1,"pose_keypoints",7,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",57.7244,-46.865,1.84554747880074,-1.49923687906989
0.498681,86.5241,247.827,1,"pose_keypoints",8,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",0.0185000000000031,-119.234,0.00594128810684867,-3.80777115920586
0.519484,65.9799,249.772,1,"pose_keypoints",9,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-20.5257,-121.179,-0.650056065831249,-3.86896336817795
0.505431,65.9817,332.88,1,"pose_keypoints",10,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-20.5239,-204.287,-0.646269208555959,-6.52304010918085
0,NA,NA,1,"pose_keypoints",11,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0.490252,106.118,247.812,1,"pose_keypoints",12,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",19.6124,-119.219,0.63167715868819,-3.80817138333692
0.503371,106.103,330.901,1,"pose_keypoints",13,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",19.5974,-202.308,0.634926650776088,-6.46164060027446
0,NA,NA,1,"pose_keypoints",14,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
